Date,Open,High,Low,Close,Volume,company
15/05/1997,2.4375,2.5,1.927083,1.958333,72156000,Amazon
16/05/1997,1.96875,1.979167,1.708333,1.729167,14700000,Amazon
19/05/1997,1.760417,1.770833,1.625,1.708333,6106800,Amazon
20/05/1997,1.729167,1.75,1.635417,1.635417,5467200,Amazon
21/05/1997,1.635417,1.645833,1.375,1.427083,18853200,Amazon
22/05/1997,1.4375,1.447917,1.3125,1.395833,11776800,Amazon
23/05/1997,1.40625,1.520833,1.333333,1.5,15937200,Amazon
27/05/1997,1.510417,1.645833,1.458333,1.583333,8697600,Amazon
28/05/1997,1.625,1.635417,1.53125,1.53125,4574400,Amazon
29/05/1997,1.541667,1.541667,1.479167,1.505208,3472800,Amazon
30/05/1997,1.5,1.510417,1.479167,1.5,2594400,Amazon
2/06/1997,1.510417,1.53125,1.5,1.510417,591600,Amazon
3/06/1997,1.53125,1.53125,1.479167,1.479167,1183200,Amazon
4/06/1997,1.479167,1.489583,1.395833,1.416667,3080400,Amazon
5/06/1997,1.416667,1.541667,1.375,1.541667,5672400,Amazon
6/06/1997,1.515625,1.708333,1.510417,1.65625,7807200,Amazon
9/06/1997,1.65625,1.708333,1.65625,1.6875,2352000,Amazon
10/06/1997,1.708333,1.708333,1.53125,1.583333,5458800,Amazon
11/06/1997,1.59375,1.604167,1.53125,1.541667,1188000,Amazon
12/06/1997,1.583333,1.645833,1.552083,1.604167,1632000,Amazon
13/06/1997,1.625,1.625,1.583333,1.583333,693600,Amazon
16/06/1997,1.604167,1.604167,1.5625,1.572917,913200,Amazon
17/06/1997,1.598958,1.598958,1.494792,1.505208,4706400,Amazon
18/06/1997,1.520833,1.536458,1.5,1.510417,2464800,Amazon
19/06/1997,1.510417,1.53125,1.5,1.510417,1003200,Amazon
20/06/1997,1.53125,1.552083,1.5,1.526042,3387600,Amazon
23/06/1997,1.541667,1.541667,1.479167,1.5,1047600,Amazon
24/06/1997,1.505208,1.526042,1.479167,1.510417,751200,Amazon
25/06/1997,1.526042,1.526042,1.489583,1.510417,2106000,Amazon
26/06/1997,1.520833,1.520833,1.505208,1.510417,3189600,Amazon
27/06/1997,1.515625,1.515625,1.479167,1.489583,1188000,Amazon
30/06/1997,1.510417,1.598958,1.479167,1.541667,2746800,Amazon
1/07/1997,1.541667,1.541667,1.510417,1.515625,1292400,Amazon
2/07/1997,1.515625,1.59375,1.510417,1.588542,3882000,Amazon
3/07/1997,1.598958,1.916667,1.59375,1.911458,12577200,Amazon
7/07/1997,1.833333,2.020833,1.833333,2,8053200,Amazon
8/07/1997,2.041667,2.333333,2.041667,2.302083,15517200,Amazon
9/07/1997,2.302083,2.385417,2.270833,2.322917,8262000,Amazon
10/07/1997,2.333333,2.572917,2.333333,2.5625,9051600,Amazon
11/07/1997,2.520833,2.520833,2.208333,2.291667,10531200,Amazon
14/07/1997,2.322917,2.333333,2.114583,2.135417,4604400,Amazon
15/07/1997,2.135417,2.479167,2.135417,2.4375,9274800,Amazon
16/07/1997,2.447917,2.494792,2.302083,2.333333,3024000,Amazon
17/07/1997,2.34375,2.34375,2.15625,2.21875,3169200,Amazon
18/07/1997,2.1875,2.21875,2.15625,2.15625,780000,Amazon
21/07/1997,2.177083,2.197917,2.145833,2.182292,574800,Amazon
22/07/1997,2.166667,2.1875,2.0625,2.135417,1563600,Amazon
23/07/1997,2.1875,2.333333,2.177083,2.291667,3259200,Amazon
24/07/1997,2.302083,2.3125,2.21875,2.260417,1216800,Amazon
25/07/1997,2.21875,2.25,2.21875,2.229167,620400,Amazon
28/07/1997,2.229167,2.395833,2.21875,2.322917,2574000,Amazon
29/07/1997,2.364583,2.5,2.333333,2.479167,4814400,Amazon
30/07/1997,2.5,2.505208,2.427083,2.447917,2517600,Amazon
31/07/1997,2.4375,2.4375,2.333333,2.395833,1454400,Amazon
1/08/1997,2.34375,2.416667,2.25,2.416667,3588000,Amazon
4/08/1997,2.375,2.411458,2.302083,2.3125,2671200,Amazon
5/08/1997,2.333333,2.333333,2.145833,2.208333,3032400,Amazon
6/08/1997,2.208333,2.3125,2.1875,2.25,1243200,Amazon
7/08/1997,2.25,2.260417,2.125,2.177083,2034000,Amazon
8/08/1997,2.166667,2.302083,2.104167,2.291667,2211600,Amazon
11/08/1997,2.291667,2.333333,2.25,2.328125,1239600,Amazon
12/08/1997,2.28125,2.302083,2.197917,2.197917,571200,Amazon
13/08/1997,2.229167,2.229167,2.166667,2.197917,590400,Amazon
14/08/1997,2.177083,2.25,2.119792,2.15625,1041600,Amazon
15/08/1997,2.135417,2.15625,1.9375,2.114583,1597200,Amazon
18/08/1997,2.052083,2.052083,1.96875,2.041667,1784400,Amazon
19/08/1997,2.09375,2.208333,2.052083,2.166667,1003200,Amazon
20/08/1997,2.1875,2.1875,2.072917,2.166667,999600,Amazon
21/08/1997,2.135417,2.171875,2.072917,2.114583,624000,Amazon
22/08/1997,2.104167,2.125,2.09375,2.125,712800,Amazon
25/08/1997,2.104167,2.260417,2.104167,2.21875,1126800,Amazon
26/08/1997,2.239583,2.354167,2.229167,2.34375,2574000,Amazon
27/08/1997,2.307292,2.322917,2.25,2.317708,1392000,Amazon
28/08/1997,2.302083,2.395833,2.28125,2.375,1147200,Amazon
29/08/1997,2.364583,2.375,2.322917,2.338542,722400,Amazon
2/09/1997,2.34375,2.375,2.333333,2.354167,732000,Amazon
3/09/1997,2.34375,2.416667,2.3125,2.333333,1964400,Amazon
4/09/1997,2.364583,2.552083,2.34375,2.552083,3348000,Amazon
5/09/1997,2.583333,2.666667,2.458333,2.5,1908000,Amazon
8/09/1997,2.53125,3.020833,2.5,3,5648400,Amazon
9/09/1997,3.140625,3.385417,3.026042,3.239583,8971200,Amazon
10/09/1997,3.3125,3.328125,3.125,3.302083,3866400,Amazon
11/09/1997,3.333333,3.333333,3.041667,3.15625,4262400,Amazon
12/09/1997,3.1875,3.697917,3.15625,3.6875,3333600,Amazon
15/09/1997,3.666667,3.677083,3.052083,3.09375,5583600,Amazon
16/09/1997,3.125,3.541667,3.119792,3.354167,6432000,Amazon
17/09/1997,3.458333,3.5,3.333333,3.40625,2607600,Amazon
18/09/1997,3.4375,3.46875,3.28125,3.291667,2128800,Amazon
19/09/1997,3.380208,4.083333,3.375,3.947917,8929200,Amazon
22/09/1997,4,4.677083,3.947917,4.5,16938000,Amazon
23/09/1997,4.489583,4.645833,4.395833,4.625,7682400,Amazon
24/09/1997,4.645833,4.8125,4.291667,4.375,8200800,Amazon
25/09/1997,4.34375,4.354167,4.052083,4.078125,4968000,Amazon
26/09/1997,4.072917,4.260417,4.052083,4.166667,2731200,Amazon
29/09/1997,4.145833,4.1875,3.958333,4.041667,2371200,Amazon
30/09/1997,4,4.348958,3.802083,4.338542,5254800,Amazon
1/10/1997,4.4375,4.5,3.9375,4.020833,4999200,Amazon
2/10/1997,4.041667,4.177083,3.989583,4.010417,1876800,Amazon
3/10/1997,4.083333,4.125,3.979167,4.015625,1164000,Amazon
6/10/1997,4,4.125,3.942708,4.125,2028000,Amazon
7/10/1997,4.083333,4.1875,4.041667,4.057292,1742400,Amazon
8/10/1997,4.145833,4.166667,3.984375,4.005208,2806800,Amazon
9/10/1997,4,4.020833,3.739583,3.75,3950400,Amazon
10/10/1997,3.729167,4.0625,3.666667,3.901042,3787200,Amazon
13/10/1997,3.927083,4.041667,3.927083,4,814800,Amazon
14/10/1997,4.0625,4.104167,3.833333,3.979167,1546800,Amazon
15/10/1997,3.96875,3.96875,3.770833,3.921875,2355600,Amazon
16/10/1997,3.979167,3.979167,3.604167,3.625,3481200,Amazon
17/10/1997,3.614583,3.65625,3.520833,3.625,2534400,Amazon
20/10/1997,3.677083,3.875,3.666667,3.822917,4912800,Amazon
21/10/1997,3.958333,4.4375,3.854167,4.427083,12096000,Amazon
22/10/1997,4.416667,4.619792,4.375,4.520833,5208000,Amazon
